feature,importance
categorical__transaction_type_deposit,1.3514211421800577
numeric__account_age_days,0.8100755218587002
categorical__transaction_type_transfer,0.6470539860008119
numeric__amount_deviation,0.5822491024857358
numeric__transaction_amount,0.5564416059602032
numeric__combined_risk_score,0.47860431965311623
numeric__previous_failed_transactions,0.3723538968420973
numeric__device_risk_score,0.3706295167441917
numeric__location_risk_score,0.35378020431102375
categorical__transaction_type_purchase,0.3249603979572848
numeric__is_night_transaction,0.3178882318929506
categorical__transaction_type_payment,0.28736421747504426
categorical__transaction_type_withdrawal,0.1833114407433335
numeric__is_international,0.11705621717688702
numeric__amount_to_average_ratio,0.07192020926125056
numeric__high_risk_interaction,0.04939281242130496
numeric__transaction_hour,0.04258483021217643
numeric__failed_transaction_velocity,0.00976315685400364
numeric__average_daily_transaction_amount,0.0022208065153485447
